fila_excel,CustomerID
402056,16363
66317,14088
525813,17254
204291,12681
205133,16873
363195,15674
448456,14071
331185,13244
428189,13607
476465,17147
514833,13362
262163,14502
448073,17219
8631,15570
76563,12731
398566,17180
41610,17069
109427,16449
417788,16549
142644,16960
338919,17037
438301,15640
422655,13266
428084,15444
199647,14769
392878,12602
135101,13110
337847,16609
249869,17469
500615,14966
359112,16261
244320,18171
348780,16624
244888,17841
434931,13183
324040,17997
100560,17139
115204,15529
462071,14547
475763,17461
445562,15493
530206,17490
431797,16150
19866,17377
284189,17695
476397,15506
330765,13305
374936,13650
198007,15220
1073,12868
216085,13089
540388,17364
172786,17841
92437,13089
164015,17449
355230,15555
523543,16905
444828,15993
83429,16686
495755,15743
514966,17911
248625,13901
19205,17999
228064,15036
96647,12621
3562,18041
240164,17323
190541,13752
20561,13982
25101,13798
180014,15518
422369,12839
172729,17841
402034,16932
320552,17677
331326,13700
106015,15319
137344,14871
212321,14700
103380,12748
444745,12357
220322,13134
64978,15498
131802,18118
265096,15004
524292,15358
330117,15752
20232,13240
26265,15998
202470,18202
243456,13263
422980,13969
370286,15411
359164,13536
213430,13668
183347,14534
503988,16024
29876,14298
189972,14689
28043,14544
262499,13667
298079,17686
489771,16722
124952,14282
9462,14506
45066,15464
325099,14965
37850,15640
234776,14110
344830,15975
488096,14030
135978,14766
297551,17429
260493,18272
479129,13269
275723,16161
177093,13081
398864,17837
466284,16504
154324,17576
193026,13310
111030,12708
469321,13614
3495,14901
407811,15006
170174,13571
338741,15522
516246,15444
247855,18102
115435,16945
196180,17871
140990,17075
497549,12748
456905,16791
429623,14096
531368,16143
439518,17203
150246,13178
426249,13137
426860,16145
406426,12748
331357,13700
91835,12372
432747,13571
308559,12935
12820,16817
497775,12476
407719,15006
497862,15502
264865,18118
250442,17511
301029,14658
273755,13668
85626,12721
186774,14646
477593,14911
538724,16833
359273,13991
32103,15456
83117,15781
208626,18204
8987,14527
492365,14020
293789,15311
17914,17341
427965,14112
395780,14527
134345,17511
292114,17400
526938,16968
442910,16372
183013,17841
173521,13263
208075,12720
386526,13212
344620,13196
253920,13583
287036,12378
137231,17931
519348,13297
124881,14041
338060,15529
248632,13901
315555,16186
82262,13309
91664,15039
380443,13602
159786,14978
378144,13808
143153,13124
304569,17070
350118,13908
364111,13505
489367,14768
59325,17690
69415,15179
529543,16929
126831,14245
522795,12748
538085,16892
478819,14456
28816,15808
475159,12748
228869,14844
119139,15311
19505,17655
367205,14524
517551,15862
54727,12652
187541,12590
225801,16919
64954,14085
26695,14505
352402,16085
17970,17341
492698,13742
7651,14800
484043,15044
495741,12557
214770,15260
233494,12432
154368,14998
372994,18116
530664,17250
323163,15860
271558,16729
133845,14504
40207,14646
206542,17841
377564,17728
255462,15150
131385,17250
179318,16121
521092,18245
14026,18055
459145,15034
28691,17890
412362,14698
26558,17618
502900,17841
504035,16024
136302,15644
313128,13320
81325,13668
463468,12867
411696,15051
395471,12359
335128,13614
414376,12921
167521,14512
326910,12616
236394,17877
215192,15386
68400,16477
69747,15797
445506,14156
52744,15518
446270,18229
87965,15550
294993,14626
110422,17769
480715,12578
218763,16872
536939,14291
341229,13430
261519,15795
423002,13969
289077,15089
44698,16771
20248,14479
183065,16525
28315,17303
396043,14234
404898,14639
211501,12517
472450,16717
255762,17735
189592,14194
228139,16898
129726,12539
281607,16170
349345,13356
69139,12693
509094,14419
303775,16755
73073,17311
182508,15433
104300,16187
286392,16984
135399,13552
333803,17426
485901,14702
321902,15910
376502,14506
418407,13871
50937,15039
358295,16326
348893,13448
331380,13700
468481,17777
136757,17917
221715,13900
84214,14048
189018,13798
191572,14911
138267,17364
538166,14056
336742,17139
460127,17052
444267,14502
110301,14903
320486,17315
158556,17346
340491,18001
221350,15867
207445,14823
313828,12715
7872,14813
472220,12731
8106,18118
29514,16083
505993,17346
385596,13259
348275,14866
306951,14709
290423,14535
153511,12928
461373,17790
417827,13309
370583,13021
143272,15356
173279,16029
267552,14911
344789,15311
439777,18022
238041,14534
234411,15280
128427,12681
504878,15861
57501,15033
325453,12627
215019,18248
504347,14547
410409,17571
102273,13001
391119,17863
384887,17509
113753,14367
339558,15998
508374,14096
362904,13979
312605,14056
425280,16987
483918,13427
289688,17315
3623,16244
314027,12748
339412,16036
282455,15329
456756,17901
334754,17864
205637,16843
345465,15547
390020,14395
206336,13018
350183,14911
537710,17841
8,17850
104128,14227
300912,17841
270044,16745
158455,14527
369201,15321
508554,14096
289750,15249
446681,17109
260298,17841
11784,15860
409556,12556
456639,13767
460426,15903
224622,15845
173337,15582
103224,16745
34235,14985
69216,13854
396065,14234
390359,13089
508905,13883
3437,17850
323772,16674
263942,17259
372771,14096
64157,17611
267040,17984
519601,12569
363315,16354
327294,16712
323754,16674
202905,17375
388998,15801
393190,13115
34079,17392
158363,15027
264715,17841
491919,13985
252097,17220
393407,16753
482816,13536
436540,16221
254287,17892
113579,14560
123944,12647
329842,17345
359676,17107
460538,15311
355931,15311
183124,14078
159848,16713
225927,15251
56928,13385
131372,17250
284215,16931
321536,16923
276284,12472
234988,12444
54081,12413
465831,15993
357514,14911
31669,13426
442014,15407
100876,16086
329905,14911
103653,17655
288685,15290
111696,16356
266717,17863
483851,17561
143430,17629
377875,12700
25747,17218
86569,17686
472061,17841
50930,15039
348993,16360
210504,12709
55877,18190
434091,12955
164758,17719
225260,13148
421694,14842
241992,16473
451986,12893
276060,12490
432005,17503
530170,15318
102827,13684
19297,17340
231118,15356
210522,12709
285109,14456
444908,15993
269227,13764
206467,12876
473415,17434
395924,16042
479142,13985
484223,16905
516637,14146
201031,16033
403449,15971
444430,13523
347288,15594
55357,17364
446255,13717
346578,18226
302923,17097
302745,16033
150336,14030
474672,16713
106966,13722
327243,18196
520009,14688
293008,14903
495890,15594
332376,13267
270773,13941
243518,13982
299924,16612
436566,16221
392999,17346
14883,12748
482385,15919
537447,12621
345089,14262
79183,16161
312308,15727
414101,14607
143141,13124
452615,15114
463338,13681
168780,15581
335900,15547
381741,12627
251980,13089
459186,12985
352679,15351
437957,16746
78183,16745
340569,17728
248639,13901
231202,12748
477133,14034
105414,12428
368576,12709
118063,13700
382054,17813
216911,16393
325901,16843
483103,17323
458728,14178
510460,13428
512787,17841
246555,12748
362919,13979
454336,14562
454333,14562
426210,17255
228985,12484
360655,14217
80483,17337
438632,13081
519743,12856
221590,12694
455477,16743
177376,17470
96928,16014
417636,18045
84647,14688
188721,16161
288823,13213
241385,15976
366632,13985
233476,12432
488226,17629
149767,16643
351190,17758
383528,14844
298856,17811
343856,15152
39460,15460
285042,14456
320895,13089
328519,13098
298160,17841
204245,17770
72776,15867
200844,17841
353733,14659
304993,15301
538466,13521
274428,13313
264650,17554
203985,14593
463987,14382
522249,16283
211322,14453
28874,15159
135371,12669
169656,13018
10098,12748
150546,13078
114970,15502
30995,13846
300485,15270
285225,12456
6781,17954
125180,13593
449519,18177
239462,15027
523544,16905
137931,13439
469728,13410
70730,15339
531248,16495
306904,12395
190481,12599
246523,17505
527637,14096
427376,15478
533634,14911
486016,16406
328460,17460
195303,13552
530752,14121
539069,16322
482505,15152
25853,17372
330906,12685
182640,17581
104186,16667
135693,15033
427959,14112
338192,17779
465122,18082
89294,14258
452833,17705
230048,14849
526653,13089
148662,14446
358253,13083
238791,18283
302337,16470
380905,14449
34617,16931
144633,13294
436133,17611
388421,15553
285448,12921
62473,18041
69166,12625
265280,14722
236683,15601
139624,14810
483390,18110
89954,14606
526573,17920
25309,18109
187034,12683
8049,18118
521174,17686
483306,14052
28364,14639
489844,17371
224108,13936
221477,15058
453953,16700
398516,14595
236029,13849
85761,12753
171758,13534
156738,14154
49404,15059
433762,16790
425772,14546
475584,13308
121971,12472
444439,13523
7390,15545
476376,15506
47035,13081
526436,15031
507036,16800
367158,12957
1234,15485
237261,17613
237289,15384
134555,14472
281417,17870
373246,16205
428007,18067
464990,17538
201307,13831
355050,15555
416142,14096
174327,15719
129020,16110
298124,17686
299460,12381
193957,12415
208110,12540
8225,15716
411257,13918
366975,15175
500460,15872
76689,17314
232740,14194
489732,12705
48971,13593
336240,16150
408764,13245
70940,16222
360199,15214
266438,16054
19179,17999
341031,17883
194549,14583
362482,15443
477645,17183
427460,15054
336184,14307
313409,15950
436645,16992
127035,15996
326433,14159
387492,13418
416328,14096
383101,12540
294939,17554
298707,17644
280475,15095
290118,16180
392469,16161
329890,14911
134454,16923
127489,12867
63333,14527
266791,16474
273476,16891
188183,13451
127221,17841
534378,17602
388471,15886
198104,13308
482150,17387
154379,14998
403956,12621
196748,13591
266603,14044
256245,14680
452462,17867
291933,12610
523267,17936
365262,12748
279444,15203
164851,15159
294953,18248
289235,16348
155746,12982
159988,15265
77717,17147
42830,15039
152084,14286
30011,14606
464632,16303
231075,12463
390524,17119
126194,12921
402593,17244
530467,18283
486087,13971
366605,13985
61717,16814
270332,15713
109703,14670
346411,16033
195561,17047
49019,15485
362292,14911
204161,14810
135229,16245
18230,15311
163646,12585
272172,14755
265995,13507
200425,12360
367863,16818
4931,17757
464274,17404
417902,16258
75918,13148
540428,17001
298778,12362
503063,18145
438925,13447
167465,14231
388679,13224
495250,15640
372064,16533
483415,18110
95826,14606
454933,14096
396485,12709
106982,14934
93658,18125
350717,14096
281980,13319
393685,13468
286671,12449
343707,17530
301740,15706
320800,13408
273478,16891
216741,14375
300496,13838
56911,12708
109715,14670
91725,12727
298313,15358
278970,15281
342222,15005
159953,16923
78326,12929
45028,15464
505744,14606
179129,14911
442898,16372
418222,16110
538673,14415
436147,17442
153689,17160
399301,14702
219534,13115
444149,17920
