fila_excel,CustomerID
205083,14101
144444,14688
471173,16156
155504,17669
328299,17841
267526,14911
485085,17738
367838,16818
236235,15750
419409,13644
495903,17481
57559,15033
27968,15854
311596,14875
390889,15024
83089,14606
339191,16081
230669,15021
323040,16945
173325,14107
289656,17735
350180,13316
235008,12444
76567,12731
475501,17828
14139,12681
315078,15669
504844,15861
430238,16705
55443,13089
169076,15237
125874,14769
207628,14606
336044,16871
345738,15533
213943,17346
201318,14817
343083,15417
398368,12744
269405,14732
236617,13089
489254,17155
306719,15078
31127,16145
428835,18055
473357,14898
464210,16877
432929,16729
382830,18109
220687,17372
10020,13174
446364,18036
233071,15016
220603,14606
442935,16372
39420,15867
357077,16240
272061,17511
353163,17460
185709,14056
114764,14112
446583,17043
373124,17321
394843,13777
40099,14737
139735,13426
232004,15334
376673,17957
454579,12981
120745,13451
485324,16399
276163,15506
197764,15078
350752,14096
176548,15491
137950,13439
398925,16674
346870,14159
384321,12856
381831,15707
22334,17841
530556,17744
25400,15503
459971,16433
177656,13475
282469,15329
249269,17581
335813,12965
500266,12748
69733,12421
339403,16036
90770,16431
288676,15290
273894,14407
223890,17802
350315,15311
483165,14704
402115,14830
482112,16779
336975,16360
124212,16779
37261,12748
239785,14156
5280,13370
408549,13755
55802,17068
128639,15998
70239,14257
322031,14420
327661,16455
333229,12748
276462,16558
433995,14673
236831,15041
373900,13994
193585,17511
367326,14524
493055,16020
489000,13268
426118,14179
463197,15787
438214,13467
182190,17576
181459,12867
88391,13742
155499,17669
385399,13755
12975,17841
33310,15311
44483,12681
68947,14782
448027,14140
199921,14711
423375,14716
411887,15819
101435,13081
513084,12953
87904,15044
121879,17716
143516,16010
230140,15555
54158,17965
521228,15078
488130,13246
237002,12919
114790,14112
216907,16393
403345,14156
229362,13627
126844,14245
29593,14057
529751,12478
324532,16983
32419,17189
4846,17659
485755,14194
151490,17372
398221,15132
405956,14381
139736,13426
332814,12674
187746,14651
332748,13823
243352,15208
537580,14217
83317,13334
331768,16031
231470,13097
45045,15464
349597,17724
357108,16240
67569,12916
154884,12766
530409,17914
314302,13644
100862,16719
166292,12354
62645,13263
8756,15880
227027,14852
118192,13956
464343,17450
280518,16447
375154,13801
120891,12994
222713,15856
394025,12607
39051,18097
303786,16755
491599,14505
54243,13488
458039,17015
238167,13014
184996,14920
284641,16477
106024,16212
349755,14356
397794,15620
370957,16923
69393,15179
371547,16007
527893,14096
212474,13248
245791,17921
494519,14096
534045,15498
477439,12748
297988,18226
285992,17757
18101,16713
284876,15438
484214,16905
59813,13089
34645,16931
122253,15433
323878,18087
28731,17375
54188,17965
347439,14704
12454,14911
267580,16511
286047,16745
202099,17811
212957,17071
216406,17015
61592,12356
278036,13110
382560,16653
118778,15039
255612,17107
428442,13813
377679,12720
254607,17560
105853,14688
180688,15159
294263,17085
139526,15424
32759,15563
30498,17841
503595,15443
149227,17735
519069,14702
100086,16145
410613,17092
455267,14096
301413,15311
8466,12748
301093,15048
432704,17696
111486,15039
321281,17841
306743,17402
503284,13596
240096,16728
209308,16813
222987,13232
315225,15555
421560,12841
506748,12660
492694,13742
28251,16726
488372,15106
66317,14088
349386,12352
290138,16180
519263,17566
383451,14067
468398,17974
200864,17841
191126,15125
37438,16684
363065,15061
100631,17139
418361,15656
249754,13408
333626,16362
331502,13137
229264,17642
